iter	Passed	Remaining
0	14	14794
1	27	13860
2	40	13446
3	54	13488
4	67	13513
5	80	13374
6	93	13293
7	107	13288
8	120	13228
9	133	13245
10	147	13247
11	160	13194
12	172	13129
13	186	13117
14	200	13186
15	221	13621
16	236	13664
17	251	13693
18	266	13739
19	279	13696
20	294	13709
21	307	13660
22	320	13618
23	335	13628
24	349	13618
25	363	13600
26	377	13591
27	391	13596
28	406	13597
29	418	13546
30	432	13528
31	448	13559
32	462	13557
33	477	13568
34	491	13554
35	505	13541
36	519	13525
37	532	13488
38	547	13484
39	561	13474
40	575	13451
41	591	13501
42	605	13469
43	620	13471
44	633	13441
45	646	13415
46	661	13410
47	675	13395
48	689	13374
49	703	13367
50	717	13349
51	731	13331
52	744	13299
53	760	13315
54	774	13299
55	788	13286
56	802	13273
57	816	13265
58	831	13257
59	844	13237
60	859	13226
61	874	13234
62	888	13212
63	902	13193
64	915	13169
65	929	13149
66	942	13128
67	956	13107
68	970	13092
69	983	13064
70	996	13042
71	1010	13024
72	1023	12995
73	1037	12982
74	1051	12969
75	1066	12961
76	1080	12950
77	1093	12930
78	1106	12903
79	1120	12887
80	1134	12869
81	1148	12860
82	1162	12838
83	1175	12820
84	1189	12803
85	1202	12781
86	1217	12773
87	1230	12753
88	1244	12740
89	1258	12729
90	1273	12725
91	1287	12708
92	1301	12689
93	1315	12675
94	1328	12659
95	1342	12639
96	1355	12620
97	1369	12605
98	1382	12584
99	1397	12574
100	1411	12561
101	1424	12543
102	1438	12527
103	1452	12510
104	1464	12486
105	1478	12473
106	1493	12464
107	1507	12452
108	1520	12433
109	1534	12413
110	1547	12393
111	1560	12376
112	1574	12358
113	1588	12344
114	1602	12333
115	1617	12322
116	1630	12303
117	1644	12290
118	1657	12272
119	1671	12256
120	1685	12242
121	1699	12231
122	1713	12218
123	1726	12198
124	1740	12181
125	1754	12169
126	1767	12152
127	1781	12138
128	1796	12127
129	1810	12115
130	1824	12105
131	1839	12098
132	1854	12087
133	1868	12074
134	1882	12062
135	1897	12054
136	1912	12046
137	1927	12037
138	1940	12018
139	1953	11999
140	1967	11984
141	1981	11971
142	1995	11958
143	2009	11945
144	2022	11926
145	2036	11913
146	2050	11896
147	2064	11883
148	2077	11866
149	2091	11852
150	2104	11830
151	2134	11908
152	2148	11893
153	2162	11877
154	2176	11863
155	2190	11852
156	2203	11832
157	2217	11815
158	2231	11804
159	2245	11791
160	2259	11773
161	2273	11758
162	2287	11746
163	2300	11727
164	2314	11713
165	2328	11698
166	2342	11685
167	2358	11677
168	2371	11662
169	2385	11645
170	2397	11625
171	2412	11611
172	2425	11595
173	2440	11582
174	2453	11565
175	2466	11549
176	2480	11532
177	2493	11515
178	2506	11498
179	2520	11482
180	2533	11465
181	2548	11454
182	2563	11442
183	2576	11427
184	2590	11412
185	2604	11399
186	2620	11391
187	2636	11385
188	2656	11397
189	2674	11403
190	2692	11404
191	2709	11401
192	2724	11391
193	2737	11375
194	2752	11361
195	2766	11349
196	2781	11338
197	2795	11324
198	2810	11310
199	2823	11293
200	2837	11279
201	2850	11262
202	2864	11247
203	2878	11232
204	2892	11217
205	2905	11200
206	2919	11184
207	2933	11168
208	2946	11150
209	2959	11132
210	2972	11116
211	2986	11102
212	3002	11092
213	3015	11076
214	3029	11060
215	3042	11044
216	3056	11029
217	3070	11012
218	3083	10996
219	3096	10979
220	3110	10964
221	3124	10948
222	3137	10932
223	3150	10915
224	3164	10899
225	3177	10883
226	3191	10868
227	3206	10858
228	3221	10845
229	3234	10826
230	3247	10811
231	3260	10793
232	3273	10776
233	3286	10759
234	3299	10742
235	3313	10727
236	3327	10711
237	3341	10697
238	3354	10680
239	3367	10664
240	3380	10647
241	3394	10633
242	3408	10616
243	3423	10606
244	3438	10595
245	3452	10583
246	3467	10570
247	3481	10556
248	3495	10543
249	3509	10527
250	3522	10511
251	3536	10497
252	3550	10483
253	3564	10469
254	3578	10454
255	3592	10442
256	3606	10427
257	3621	10414
258	3636	10402
259	3650	10391
260	3665	10377
261	3678	10362
262	3692	10346
263	3705	10329
264	3718	10312
265	3732	10298
266	3745	10281
267	3759	10267
268	3772	10251
269	3786	10237
270	3800	10224
271	3814	10208
272	3828	10195
273	3841	10178
274	3854	10162
275	3869	10149
276	3882	10134
277	3896	10120
278	3910	10104
279	3923	10088
280	3936	10071
281	3949	10055
282	3962	10038
283	3976	10026
284	3990	10011
285	4004	9996
286	4017	9980
287	4030	9963
288	4044	9949
289	4058	9935
290	4073	9924
291	4087	9910
292	4101	9896
293	4114	9880
294	4128	9866
295	4142	9851
296	4155	9835
297	4168	9820
298	4181	9804
299	4195	9789
300	4208	9774
301	4224	9762
302	4237	9748
303	4251	9733
304	4265	9718
305	4278	9702
306	4292	9689
307	4307	9678
308	4321	9664
309	4335	9649
310	4349	9635
311	4362	9620
312	4375	9603
313	4388	9587
314	4401	9572
315	4417	9560
316	4431	9548
317	4445	9535
318	4459	9519
319	4473	9505
320	4486	9490
321	4501	9477
322	4515	9464
323	4529	9451
324	4542	9435
325	4555	9419
326	4569	9405
327	4583	9390
328	4596	9375
329	4611	9361
330	4625	9347
331	4638	9333
332	4652	9318
333	4665	9304
334	4679	9289
335	4692	9273
336	4706	9260
337	4721	9247
338	4736	9234
339	4749	9219
340	4764	9206
341	4778	9193
342	4792	9180
343	4806	9166
344	4820	9151
345	4833	9137
346	4847	9123
347	4861	9108
348	4875	9093
349	4888	9079
350	4902	9064
351	4915	9049
352	4930	9037
353	4945	9024
354	4959	9010
355	4973	8996
356	4986	8981
357	4999	8965
358	5013	8950
359	5026	8936
360	5040	8922
361	5054	8908
362	5068	8895
363	5082	8879
364	5095	8864
365	5109	8850
366	5124	8838
367	5139	8826
368	5155	8815
369	5168	8801
370	5182	8786
371	5195	8770
372	5208	8756
373	5222	8741
374	5235	8726
375	5250	8712
376	5263	8697
377	5276	8682
378	5290	8668
379	5304	8654
380	5317	8639
381	5331	8625
382	5346	8612
383	5360	8598
384	5373	8583
385	5386	8568
386	5400	8554
387	5414	8540
388	5428	8526
389	5442	8512
390	5455	8496
391	5469	8483
392	5482	8468
393	5497	8455
394	5511	8441
395	5525	8427
396	5538	8411
397	5552	8399
398	5569	8389
399	5583	8374
400	5597	8360
401	5610	8346
402	5624	8332
403	5638	8317
404	5651	8302
405	5665	8288
406	5678	8273
407	5692	8259
408	5707	8246
409	5720	8231
410	5733	8216
411	5747	8202
412	5762	8189
413	5777	8178
414	5792	8165
415	5806	8150
416	5820	8137
417	5833	8121
418	5847	8107
419	5861	8094
420	5875	8080
421	5888	8065
422	5902	8051
423	5916	8037
424	5929	8022
425	5943	8007
426	5956	7993
