ID,SUBCLASS
TEST_0000,KIRC
TEST_0001,SARC
TEST_0002,LGG
TEST_0003,KIPAN
TEST_0004,LUSC
TEST_0005,DLBC
TEST_0006,COAD
TEST_0007,KIRC
TEST_0008,LAML
TEST_0009,LIHC
TEST_0010,LAML
TEST_0011,LAML
TEST_0012,LAML
TEST_0013,GBMLGG
TEST_0014,LAML
TEST_0015,LUAD
TEST_0016,LAML
TEST_0017,LAML
TEST_0018,LAML
TEST_0019,LAML
TEST_0020,DLBC
TEST_0021,DLBC
TEST_0022,KIRC
TEST_0023,LGG
TEST_0024,DLBC
TEST_0025,HNSC
TEST_0026,KIPAN
TEST_0027,HNSC
TEST_0028,DLBC
TEST_0029,LGG
TEST_0030,DLBC
TEST_0031,COAD
TEST_0032,DLBC
TEST_0033,HNSC
TEST_0034,LAML
TEST_0035,HNSC
TEST_0036,KIRC
TEST_0037,LIHC
TEST_0038,LGG
TEST_0039,DLBC
TEST_0040,LAML
TEST_0041,KIPAN
TEST_0042,SARC
TEST_0043,PAAD
TEST_0044,BRCA
TEST_0045,DLBC
TEST_0046,KIPAN
TEST_0047,LUSC
TEST_0048,LGG
TEST_0049,GBMLGG
TEST_0050,KIRC
TEST_0051,KIRC
TEST_0052,DLBC
TEST_0053,LAML
TEST_0054,KIPAN
TEST_0055,KIRC
TEST_0056,DLBC
TEST_0057,HNSC
TEST_0058,LIHC
TEST_0059,SKCM
TEST_0060,KIRC
TEST_0061,KIRC
TEST_0062,KIPAN
TEST_0063,DLBC
TEST_0064,LAML
TEST_0065,GBMLGG
TEST_0066,LAML
TEST_0067,DLBC
TEST_0068,HNSC
TEST_0069,HNSC
TEST_0070,DLBC
TEST_0071,LIHC
TEST_0072,OV
TEST_0073,LAML
TEST_0074,KIRC
TEST_0075,LAML
TEST_0076,DLBC
TEST_0077,KIPAN
TEST_0078,LIHC
TEST_0079,COAD
TEST_0080,LUAD
TEST_0081,LIHC
TEST_0082,LIHC
TEST_0083,COAD
TEST_0084,DLBC
TEST_0085,LAML
TEST_0086,DLBC
TEST_0087,LAML
TEST_0088,LUAD
TEST_0089,COAD
TEST_0090,SKCM
TEST_0091,KIRC
TEST_0092,DLBC
TEST_0093,LAML
TEST_0094,KIRC
TEST_0095,GBMLGG
TEST_0096,DLBC
TEST_0097,KIPAN
TEST_0098,COAD
TEST_0099,DLBC
TEST_0100,LAML
TEST_0101,KIRC
TEST_0102,KIPAN
TEST_0103,KIPAN
TEST_0104,LAML
TEST_0105,LAML
TEST_0106,DLBC
TEST_0107,LUAD
TEST_0108,BRCA
TEST_0109,KIPAN
TEST_0110,LUAD
TEST_0111,SKCM
TEST_0112,OV
TEST_0113,LGG
TEST_0114,GBMLGG
TEST_0115,LAML
TEST_0116,KIRC
TEST_0117,KIPAN
TEST_0118,LAML
TEST_0119,DLBC
TEST_0120,LIHC
TEST_0121,KIRC
TEST_0122,COAD
TEST_0123,LAML
TEST_0124,SKCM
TEST_0125,DLBC
TEST_0126,KIPAN
TEST_0127,LAML
TEST_0128,LGG
TEST_0129,KIPAN
TEST_0130,LIHC
TEST_0131,LAML
TEST_0132,LAML
TEST_0133,HNSC
TEST_0134,LUSC
TEST_0135,HNSC
TEST_0136,KIPAN
TEST_0137,CESC
TEST_0138,LAML
TEST_0139,LAML
TEST_0140,KIRC
TEST_0141,LUSC
TEST_0142,SKCM
TEST_0143,HNSC
TEST_0144,LAML
TEST_0145,SKCM
TEST_0146,KIPAN
TEST_0147,LGG
TEST_0148,LAML
TEST_0149,KIPAN
TEST_0150,COAD
TEST_0151,SARC
TEST_0152,KIRC
TEST_0153,KIPAN
TEST_0154,KIPAN
TEST_0155,KIRC
TEST_0156,LGG
TEST_0157,GBMLGG
TEST_0158,GBMLGG
TEST_0159,LIHC
TEST_0160,LAML
TEST_0161,HNSC
TEST_0162,KIRC
TEST_0163,KIRC
TEST_0164,KIPAN
TEST_0165,CESC
TEST_0166,DLBC
TEST_0167,CESC
TEST_0168,LGG
TEST_0169,OV
TEST_0170,LAML
TEST_0171,GBMLGG
TEST_0172,LIHC
TEST_0173,LAML
TEST_0174,KIRC
TEST_0175,HNSC
TEST_0176,KIRC
TEST_0177,LAML
TEST_0178,COAD
TEST_0179,KIPAN
TEST_0180,LAML
TEST_0181,KIRC
TEST_0182,COAD
TEST_0183,KIPAN
TEST_0184,SARC
TEST_0185,LAML
TEST_0186,PAAD
TEST_0187,LAML
TEST_0188,LAML
TEST_0189,GBMLGG
TEST_0190,KIRC
TEST_0191,PCPG
TEST_0192,LAML
TEST_0193,LIHC
TEST_0194,KIRC
TEST_0195,HNSC
TEST_0196,GBMLGG
TEST_0197,LGG
TEST_0198,LIHC
TEST_0199,LGG
TEST_0200,HNSC
TEST_0201,HNSC
TEST_0202,KIRC
TEST_0203,LAML
TEST_0204,SKCM
TEST_0205,LIHC
TEST_0206,HNSC
TEST_0207,LUAD
TEST_0208,PAAD
TEST_0209,GBMLGG
TEST_0210,CESC
TEST_0211,BRCA
TEST_0212,LAML
TEST_0213,COAD
TEST_0214,LAML
TEST_0215,LGG
TEST_0216,KIRC
TEST_0217,LGG
TEST_0218,LAML
TEST_0219,LAML
TEST_0220,GBMLGG
TEST_0221,LAML
TEST_0222,LAML
TEST_0223,KIRC
TEST_0224,LUSC
TEST_0225,PCPG
TEST_0226,LAML
TEST_0227,DLBC
TEST_0228,LUAD
TEST_0229,KIRC
TEST_0230,KIPAN
TEST_0231,LGG
TEST_0232,LGG
TEST_0233,LGG
TEST_0234,KIRC
TEST_0235,DLBC
TEST_0236,DLBC
TEST_0237,COAD
TEST_0238,SARC
TEST_0239,PCPG
TEST_0240,COAD
TEST_0241,LAML
TEST_0242,GBMLGG
TEST_0243,KIRC
TEST_0244,HNSC
TEST_0245,LUAD
TEST_0246,LAML
TEST_0247,LGG
TEST_0248,DLBC
TEST_0249,LUAD
TEST_0250,LIHC
TEST_0251,KIPAN
TEST_0252,CESC
TEST_0253,LAML
TEST_0254,SKCM
TEST_0255,LAML
TEST_0256,DLBC
TEST_0257,KIPAN
TEST_0258,GBMLGG
TEST_0259,DLBC
TEST_0260,SKCM
TEST_0261,LAML
TEST_0262,LUSC
TEST_0263,DLBC
TEST_0264,LAML
TEST_0265,KIPAN
TEST_0266,SARC
TEST_0267,KIRC
TEST_0268,LIHC
TEST_0269,LAML
TEST_0270,LAML
TEST_0271,LAML
TEST_0272,KIRC
TEST_0273,COAD
TEST_0274,KIRC
TEST_0275,LAML
TEST_0276,CESC
TEST_0277,LAML
TEST_0278,DLBC
TEST_0279,DLBC
TEST_0280,DLBC
TEST_0281,LGG
TEST_0282,KIPAN
TEST_0283,LAML
TEST_0284,KIPAN
TEST_0285,KIPAN
TEST_0286,OV
TEST_0287,LGG
TEST_0288,KIPAN
TEST_0289,GBMLGG
TEST_0290,COAD
TEST_0291,KIPAN
TEST_0292,DLBC
TEST_0293,BLCA
TEST_0294,LAML
TEST_0295,LGG
TEST_0296,LGG
TEST_0297,GBMLGG
TEST_0298,DLBC
TEST_0299,PAAD
TEST_0300,GBMLGG
TEST_0301,SARC
TEST_0302,KIPAN
TEST_0303,GBMLGG
TEST_0304,COAD
TEST_0305,LAML
TEST_0306,LIHC
TEST_0307,LUAD
TEST_0308,KIPAN
TEST_0309,LUSC
TEST_0310,LAML
TEST_0311,LAML
TEST_0312,LGG
TEST_0313,LUAD
TEST_0314,LGG
TEST_0315,LGG
TEST_0316,COAD
TEST_0317,DLBC
TEST_0318,LAML
TEST_0319,LIHC
TEST_0320,LAML
TEST_0321,LGG
TEST_0322,KIRC
TEST_0323,CESC
TEST_0324,SKCM
