ID,SUBCLASS
TEST_0000,STES
TEST_0001,UCEC
TEST_0002,THCA
TEST_0003,GBMLGG
TEST_0004,STES
TEST_0005,STES
TEST_0006,BRCA
TEST_0007,SKCM
TEST_0008,BRCA
TEST_0009,BRCA
TEST_0010,KIRC
TEST_0011,LAML
TEST_0012,COAD
TEST_0013,STES
TEST_0014,KIRC
TEST_0015,LIHC
TEST_0016,STES
TEST_0017,BRCA
TEST_0018,KIPAN
TEST_0019,TGCT
TEST_0020,COAD
TEST_0021,COAD
TEST_0022,LGG
TEST_0023,UCEC
TEST_0024,COAD
TEST_0025,COAD
TEST_0026,BRCA
TEST_0027,STES
TEST_0028,STES
TEST_0029,BRCA
TEST_0030,COAD
TEST_0031,STES
TEST_0032,COAD
TEST_0033,KIPAN
TEST_0034,KIRC
TEST_0035,STES
TEST_0036,LGG
TEST_0037,PRAD
TEST_0038,HNSC
TEST_0039,COAD
TEST_0040,CESC
TEST_0041,GBMLGG
TEST_0042,SKCM
TEST_0043,STES
TEST_0044,BRCA
TEST_0045,BLCA
TEST_0046,KIRC
TEST_0047,STES
TEST_0048,KIPAN
TEST_0049,BRCA
TEST_0050,STES
TEST_0051,KIRC
TEST_0052,COAD
TEST_0053,OV
TEST_0054,BRCA
TEST_0055,BRCA
TEST_0056,COAD
TEST_0057,BRCA
TEST_0058,LIHC
TEST_0059,SKCM
TEST_0060,KIRC
TEST_0061,BRCA
TEST_0062,BRCA
TEST_0063,UCEC
TEST_0064,BRCA
TEST_0065,COAD
TEST_0066,STES
TEST_0067,COAD
TEST_0068,LAML
TEST_0069,STES
TEST_0070,COAD
TEST_0071,STES
TEST_0072,UCEC
TEST_0073,SKCM
TEST_0074,BRCA
TEST_0075,BRCA
TEST_0076,COAD
TEST_0077,STES
TEST_0078,SKCM
TEST_0079,GBMLGG
TEST_0080,STES
TEST_0081,STES
TEST_0082,UCEC
TEST_0083,COAD
TEST_0084,COAD
TEST_0085,STES
TEST_0086,CESC
TEST_0087,PAAD
TEST_0088,STES
TEST_0089,BRCA
TEST_0090,THCA
TEST_0091,KIRC
TEST_0092,STES
TEST_0093,HNSC
TEST_0094,PRAD
TEST_0095,KIPAN
TEST_0096,ACC
TEST_0097,STES
TEST_0098,COAD
TEST_0099,COAD
TEST_0100,BRCA
TEST_0101,KIPAN
TEST_0102,BRCA
TEST_0103,GBMLGG
TEST_0104,LGG
TEST_0105,LIHC
TEST_0106,COAD
TEST_0107,GBMLGG
TEST_0108,STES
TEST_0109,STES
TEST_0110,BRCA
TEST_0111,THCA
TEST_0112,UCEC
TEST_0113,KIPAN
TEST_0114,COAD
TEST_0115,PRAD
TEST_0116,KIPAN
TEST_0117,LGG
TEST_0118,PCPG
TEST_0119,STES
TEST_0120,UCEC
TEST_0121,GBMLGG
TEST_0122,BRCA
TEST_0123,KIPAN
TEST_0124,THCA
TEST_0125,COAD
TEST_0126,GBMLGG
TEST_0127,GBMLGG
TEST_0128,PCPG
TEST_0129,KIRC
TEST_0130,KIPAN
TEST_0131,LAML
TEST_0132,BRCA
TEST_0133,LUAD
TEST_0134,STES
TEST_0135,GBMLGG
TEST_0136,GBMLGG
TEST_0137,BRCA
TEST_0138,CESC
TEST_0139,BRCA
TEST_0140,STES
TEST_0141,UCEC
TEST_0142,SKCM
TEST_0143,STES
TEST_0144,BRCA
TEST_0145,THCA
TEST_0146,KIPAN
TEST_0147,KIPAN
TEST_0148,GBMLGG
TEST_0149,CESC
TEST_0150,COAD
TEST_0151,THCA
TEST_0152,BRCA
TEST_0153,GBMLGG
TEST_0154,KIRC
TEST_0155,KIRC
TEST_0156,BRCA
TEST_0157,COAD
TEST_0158,STES
TEST_0159,KIRC
TEST_0160,KIPAN
TEST_0161,COAD
TEST_0162,LUAD
TEST_0163,OV
TEST_0164,LGG
TEST_0165,STES
TEST_0166,COAD
TEST_0167,COAD
TEST_0168,BRCA
TEST_0169,STES
TEST_0170,BRCA
TEST_0171,COAD
TEST_0172,LAML
TEST_0173,BRCA
TEST_0174,KIPAN
TEST_0175,TGCT
TEST_0176,BRCA
TEST_0177,OV
TEST_0178,ACC
TEST_0179,LUAD
TEST_0180,BRCA
TEST_0181,STES
TEST_0182,BRCA
TEST_0183,GBMLGG
TEST_0184,THCA
TEST_0185,STES
TEST_0186,LIHC
TEST_0187,BRCA
TEST_0188,GBMLGG
TEST_0189,COAD
TEST_0190,SKCM
TEST_0191,UCEC
TEST_0192,BRCA
TEST_0193,STES
TEST_0194,BRCA
TEST_0195,STES
TEST_0196,BRCA
TEST_0197,SKCM
TEST_0198,KIRC
TEST_0199,KIPAN
TEST_0200,KIRC
TEST_0201,KIPAN
TEST_0202,KIRC
TEST_0203,KIRC
TEST_0204,THCA
TEST_0205,SARC
TEST_0206,BRCA
TEST_0207,LIHC
TEST_0208,UCEC
TEST_0209,STES
TEST_0210,STES
TEST_0211,BRCA
TEST_0212,GBMLGG
TEST_0213,BRCA
TEST_0214,BRCA
TEST_0215,LIHC
TEST_0216,STES
TEST_0217,KIPAN
TEST_0218,GBMLGG
TEST_0219,BRCA
TEST_0220,BRCA
TEST_0221,CESC
TEST_0222,THCA
TEST_0223,GBMLGG
TEST_0224,UCEC
TEST_0225,GBMLGG
TEST_0226,BRCA
TEST_0227,COAD
TEST_0228,SKCM
TEST_0229,KIPAN
TEST_0230,STES
TEST_0231,TGCT
TEST_0232,STES
TEST_0233,LUAD
TEST_0234,STES
TEST_0235,COAD
TEST_0236,BRCA
TEST_0237,BRCA
TEST_0238,THCA
TEST_0239,SKCM
