iter	MultiClass
0	3.089431486
1	2.995717406
2	2.921501327
3	2.884056651
4	2.824456832
5	2.799391309
6	2.76870132
7	2.73094874
8	2.693955163
9	2.675851595
10	2.656067376
11	2.639811394
12	2.621876392
13	2.59492782
14	2.574095814
15	2.560155113
16	2.54928233
17	2.534980001
18	2.527064606
19	2.52046771
20	2.513621441
21	2.505840691
22	2.498137142
23	2.488382755
24	2.481630416
25	2.477117358
26	2.474206997
27	2.466149405
28	2.463513322
29	2.457056969
30	2.45390817
31	2.448070065
32	2.442368898
33	2.433692293
34	2.431044237
35	2.426693434
36	2.420835423
37	2.412850105
38	2.406477877
39	2.405381228
40	2.401587583
41	2.398840357
42	2.395642449
43	2.389630539
44	2.385693843
45	2.378034536
46	2.374808643
47	2.372224456
48	2.368742549
49	2.359730199
50	2.358040761
51	2.355545844
52	2.351938889
53	2.349850536
54	2.346442303
55	2.344818678
56	2.339532885
57	2.336289898
58	2.331198703
59	2.326872449
60	2.325166509
61	2.323510638
62	2.320971638
63	2.317893128
64	2.315687407
65	2.311167144
66	2.309321626
67	2.305727452
68	2.303396425
69	2.301616166
70	2.297081814
71	2.294585744
72	2.292917978
73	2.290912714
74	2.285395227
75	2.2826256
76	2.280576341
77	2.27731949
78	2.275010147
79	2.273543424
80	2.269072556
81	2.265588514
82	2.262135698
83	2.261240348
84	2.260523117
85	2.259028802
86	2.257854573
87	2.255175623
88	2.252397144
89	2.248710269
90	2.247281554
91	2.246148802
92	2.24085
93	2.234919404
94	2.233881229
95	2.230379098
96	2.228447201
97	2.224802723
98	2.222295902
99	2.220286214
100	2.216839296
101	2.208963342
102	2.20574331
103	2.204204309
104	2.202066227
105	2.198639007
106	2.193801975
107	2.189945003
108	2.188033592
109	2.185539414
110	2.178976108
111	2.176863058
112	2.170697546
113	2.165052344
114	2.161328096
115	2.157109915
116	2.152832193
117	2.150660699
118	2.146080767
119	2.142265787
120	2.139604929
121	2.136917038
122	2.134014402
123	2.129968127
124	2.125432529
125	2.124201574
126	2.121231014
127	2.117129717
128	2.113086603
129	2.108493224
130	2.106055057
131	2.103343965
132	2.099740509
133	2.097306928
134	2.093941523
135	2.090266765
136	2.085591027
137	2.082172919
138	2.079706776
139	2.078293785
140	2.077418151
141	2.074328763
142	2.073492958
143	2.070803617
144	2.068564164
145	2.065242415
146	2.063790232
147	2.060567612
148	2.057658221
149	2.055252137
150	2.05433602
151	2.051750249
152	2.049328241
153	2.047204657
154	2.04528445
155	2.042577253
156	2.041725504
157	2.039056504
158	2.036750079
159	2.035982781
160	2.033870122
161	2.033497448
162	2.031762798
163	2.030510804
164	2.029236273
165	2.028395649
166	2.027739191
167	2.02632305
168	2.023669499
169	2.022608454
170	2.021784175
171	2.019482236
172	2.019361593
173	2.01811456
174	2.017035116
175	2.015145881
176	2.013055227
177	2.012975818
178	2.011103199
179	2.009739775
180	2.008835257
181	2.006885982
182	2.004824452
183	2.003458861
184	2.001829649
185	2.001389649
186	1.999721184
187	1.998265822
188	1.997863915
189	1.996460133
190	1.99574541
191	1.994011184
192	1.993094788
193	1.992117802
194	1.991116795
195	1.989853623
196	1.988659854
197	1.986606536
198	1.985338019
199	1.985074518
200	1.984470909
201	1.984071813
202	1.982165105
203	1.981302092
204	1.979902032
205	1.979258324
206	1.978791893
207	1.97778478
208	1.976377484
209	1.976109993
210	1.975424889
211	1.975000541
212	1.973637044
213	1.972902133
214	1.971449456
215	1.970581056
216	1.970442295
217	1.969398934
218	1.968812415
219	1.968082056
220	1.967070499
221	1.966974013
222	1.96637258
223	1.965759912
224	1.96409995
225	1.962249687
226	1.961300744
227	1.961101833
228	1.960938936
229	1.960742153
230	1.960455305
231	1.959709714
232	1.958738871
233	1.957666939
234	1.957499485
235	1.955223196
236	1.954585929
237	1.953887263
238	1.952910769
239	1.952330909
240	1.951293517
241	1.950892044
242	1.950247184
243	1.949605448
244	1.949248333
245	1.948247208
246	1.947784425
247	1.946088644
248	1.944194827
249	1.943270395
250	1.942536672
251	1.941933657
252	1.939917588
253	1.939630303
254	1.93947088
255	1.938977505
256	1.938441197
257	1.938004147
258	1.937548483
259	1.937140266
260	1.935832869
261	1.934715948
262	1.933759636
