input_image_path,gt_image_path
./train_input/TRAIN_00000.png,./train_gt/TRAIN_00000.png
./train_input/TRAIN_00001.png,./train_gt/TRAIN_00001.png
./train_input/TRAIN_00002.png,./train_gt/TRAIN_00002.png
./train_input/TRAIN_00003.png,./train_gt/TRAIN_00003.png
./train_input/TRAIN_00004.png,./train_gt/TRAIN_00004.png
./train_input/TRAIN_00005.png,./train_gt/TRAIN_00005.png
./train_input/TRAIN_00006.png,./train_gt/TRAIN_00006.png
./train_input/TRAIN_00007.png,./train_gt/TRAIN_00007.png
./train_input/TRAIN_00008.png,./train_gt/TRAIN_00008.png
./train_input/TRAIN_00009.png,./train_gt/TRAIN_00009.png
./train_input/TRAIN_00010.png,./train_gt/TRAIN_00010.png
./train_input/TRAIN_00011.png,./train_gt/TRAIN_00011.png
./train_input/TRAIN_00012.png,./train_gt/TRAIN_00012.png
./train_input/TRAIN_00013.png,./train_gt/TRAIN_00013.png
./train_input/TRAIN_00014.png,./train_gt/TRAIN_00014.png
./train_input/TRAIN_00015.png,./train_gt/TRAIN_00015.png
./train_input/TRAIN_00016.png,./train_gt/TRAIN_00016.png
./train_input/TRAIN_00017.png,./train_gt/TRAIN_00017.png
./train_input/TRAIN_00018.png,./train_gt/TRAIN_00018.png
./train_input/TRAIN_00019.png,./train_gt/TRAIN_00019.png
./train_input/TRAIN_00020.png,./train_gt/TRAIN_00020.png
./train_input/TRAIN_00021.png,./train_gt/TRAIN_00021.png
./train_input/TRAIN_00022.png,./train_gt/TRAIN_00022.png
./train_input/TRAIN_00023.png,./train_gt/TRAIN_00023.png
./train_input/TRAIN_00024.png,./train_gt/TRAIN_00024.png
./train_input/TRAIN_00025.png,./train_gt/TRAIN_00025.png
./train_input/TRAIN_00026.png,./train_gt/TRAIN_00026.png
./train_input/TRAIN_00027.png,./train_gt/TRAIN_00027.png
./train_input/TRAIN_00028.png,./train_gt/TRAIN_00028.png
./train_input/TRAIN_00029.png,./train_gt/TRAIN_00029.png
./train_input/TRAIN_00030.png,./train_gt/TRAIN_00030.png
./train_input/TRAIN_00031.png,./train_gt/TRAIN_00031.png
./train_input/TRAIN_00032.png,./train_gt/TRAIN_00032.png
./train_input/TRAIN_00033.png,./train_gt/TRAIN_00033.png
./train_input/TRAIN_00034.png,./train_gt/TRAIN_00034.png
./train_input/TRAIN_00035.png,./train_gt/TRAIN_00035.png
./train_input/TRAIN_00036.png,./train_gt/TRAIN_00036.png
./train_input/TRAIN_00037.png,./train_gt/TRAIN_00037.png
./train_input/TRAIN_00038.png,./train_gt/TRAIN_00038.png
./train_input/TRAIN_00039.png,./train_gt/TRAIN_00039.png
./train_input/TRAIN_00040.png,./train_gt/TRAIN_00040.png
./train_input/TRAIN_00041.png,./train_gt/TRAIN_00041.png
./train_input/TRAIN_00042.png,./train_gt/TRAIN_00042.png
./train_input/TRAIN_00043.png,./train_gt/TRAIN_00043.png
./train_input/TRAIN_00044.png,./train_gt/TRAIN_00044.png
./train_input/TRAIN_00045.png,./train_gt/TRAIN_00045.png
./train_input/TRAIN_00046.png,./train_gt/TRAIN_00046.png
./train_input/TRAIN_00047.png,./train_gt/TRAIN_00047.png
./train_input/TRAIN_00048.png,./train_gt/TRAIN_00048.png
./train_input/TRAIN_00049.png,./train_gt/TRAIN_00049.png
./train_input/TRAIN_00050.png,./train_gt/TRAIN_00050.png
./train_input/TRAIN_00051.png,./train_gt/TRAIN_00051.png
./train_input/TRAIN_00052.png,./train_gt/TRAIN_00052.png
./train_input/TRAIN_00053.png,./train_gt/TRAIN_00053.png
./train_input/TRAIN_00054.png,./train_gt/TRAIN_00054.png
./train_input/TRAIN_00055.png,./train_gt/TRAIN_00055.png
./train_input/TRAIN_00056.png,./train_gt/TRAIN_00056.png
./train_input/TRAIN_00057.png,./train_gt/TRAIN_00057.png
./train_input/TRAIN_00058.png,./train_gt/TRAIN_00058.png
./train_input/TRAIN_00059.png,./train_gt/TRAIN_00059.png
./train_input/TRAIN_00060.png,./train_gt/TRAIN_00060.png
./train_input/TRAIN_00061.png,./train_gt/TRAIN_00061.png
./train_input/TRAIN_00062.png,./train_gt/TRAIN_00062.png
./train_input/TRAIN_00063.png,./train_gt/TRAIN_00063.png
./train_input/TRAIN_00064.png,./train_gt/TRAIN_00064.png
./train_input/TRAIN_00065.png,./train_gt/TRAIN_00065.png
./train_input/TRAIN_00066.png,./train_gt/TRAIN_00066.png
./train_input/TRAIN_00067.png,./train_gt/TRAIN_00067.png
./train_input/TRAIN_00068.png,./train_gt/TRAIN_00068.png
./train_input/TRAIN_00069.png,./train_gt/TRAIN_00069.png
./train_input/TRAIN_00070.png,./train_gt/TRAIN_00070.png
./train_input/TRAIN_00071.png,./train_gt/TRAIN_00071.png
./train_input/TRAIN_00072.png,./train_gt/TRAIN_00072.png
./train_input/TRAIN_00073.png,./train_gt/TRAIN_00073.png
./train_input/TRAIN_00074.png,./train_gt/TRAIN_00074.png
./train_input/TRAIN_00075.png,./train_gt/TRAIN_00075.png
./train_input/TRAIN_00076.png,./train_gt/TRAIN_00076.png
./train_input/TRAIN_00077.png,./train_gt/TRAIN_00077.png
./train_input/TRAIN_00078.png,./train_gt/TRAIN_00078.png
./train_input/TRAIN_00079.png,./train_gt/TRAIN_00079.png
./train_input/TRAIN_00080.png,./train_gt/TRAIN_00080.png
./train_input/TRAIN_00081.png,./train_gt/TRAIN_00081.png
./train_input/TRAIN_00082.png,./train_gt/TRAIN_00082.png
./train_input/TRAIN_00083.png,./train_gt/TRAIN_00083.png
./train_input/TRAIN_00084.png,./train_gt/TRAIN_00084.png
./train_input/TRAIN_00085.png,./train_gt/TRAIN_00085.png
./train_input/TRAIN_00086.png,./train_gt/TRAIN_00086.png
./train_input/TRAIN_00087.png,./train_gt/TRAIN_00087.png
./train_input/TRAIN_00088.png,./train_gt/TRAIN_00088.png
./train_input/TRAIN_00089.png,./train_gt/TRAIN_00089.png
./train_input/TRAIN_00090.png,./train_gt/TRAIN_00090.png
./train_input/TRAIN_00091.png,./train_gt/TRAIN_00091.png
./train_input/TRAIN_00092.png,./train_gt/TRAIN_00092.png
./train_input/TRAIN_00093.png,./train_gt/TRAIN_00093.png
./train_input/TRAIN_00094.png,./train_gt/TRAIN_00094.png
./train_input/TRAIN_00095.png,./train_gt/TRAIN_00095.png
./train_input/TRAIN_00096.png,./train_gt/TRAIN_00096.png
./train_input/TRAIN_00097.png,./train_gt/TRAIN_00097.png
./train_input/TRAIN_00098.png,./train_gt/TRAIN_00098.png
./train_input/TRAIN_00099.png,./train_gt/TRAIN_00099.png
./train_input/TRAIN_00100.png,./train_gt/TRAIN_00100.png
./train_input/TRAIN_00101.png,./train_gt/TRAIN_00101.png
./train_input/TRAIN_00102.png,./train_gt/TRAIN_00102.png
./train_input/TRAIN_00103.png,./train_gt/TRAIN_00103.png
./train_input/TRAIN_00104.png,./train_gt/TRAIN_00104.png
./train_input/TRAIN_00105.png,./train_gt/TRAIN_00105.png
./train_input/TRAIN_00106.png,./train_gt/TRAIN_00106.png
./train_input/TRAIN_00107.png,./train_gt/TRAIN_00107.png
./train_input/TRAIN_00108.png,./train_gt/TRAIN_00108.png
./train_input/TRAIN_00109.png,./train_gt/TRAIN_00109.png
./train_input/TRAIN_00110.png,./train_gt/TRAIN_00110.png
./train_input/TRAIN_00111.png,./train_gt/TRAIN_00111.png
./train_input/TRAIN_00112.png,./train_gt/TRAIN_00112.png
./train_input/TRAIN_00113.png,./train_gt/TRAIN_00113.png
./train_input/TRAIN_00114.png,./train_gt/TRAIN_00114.png
./train_input/TRAIN_00115.png,./train_gt/TRAIN_00115.png
./train_input/TRAIN_00116.png,./train_gt/TRAIN_00116.png
./train_input/TRAIN_00117.png,./train_gt/TRAIN_00117.png
./train_input/TRAIN_00118.png,./train_gt/TRAIN_00118.png
./train_input/TRAIN_00119.png,./train_gt/TRAIN_00119.png
./train_input/TRAIN_00120.png,./train_gt/TRAIN_00120.png
./train_input/TRAIN_00121.png,./train_gt/TRAIN_00121.png
./train_input/TRAIN_00122.png,./train_gt/TRAIN_00122.png
./train_input/TRAIN_00123.png,./train_gt/TRAIN_00123.png
./train_input/TRAIN_00124.png,./train_gt/TRAIN_00124.png
./train_input/TRAIN_00125.png,./train_gt/TRAIN_00125.png
./train_input/TRAIN_00126.png,./train_gt/TRAIN_00126.png
./train_input/TRAIN_00127.png,./train_gt/TRAIN_00127.png
./train_input/TRAIN_00128.png,./train_gt/TRAIN_00128.png
./train_input/TRAIN_00129.png,./train_gt/TRAIN_00129.png
./train_input/TRAIN_00130.png,./train_gt/TRAIN_00130.png
./train_input/TRAIN_00131.png,./train_gt/TRAIN_00131.png
./train_input/TRAIN_00132.png,./train_gt/TRAIN_00132.png
